"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#2	"bn-1.8M-166M.edges"	43419.4	1.02975e+09	2022-May-06 11:53:46.408793	2022-May-06 11:56:05.403364
"VectorVectorContainer"	ParallelInplace#2	"bn-7k-50k.edges"	23.3177	734524	2022-May-06 11:56:05.403747	2022-May-06 11:56:05.478633
"VectorVectorContainer"	ParallelInplace#2	"bn-34k-181k.edges"	75.9603	3.34479e+06	2022-May-06 11:56:05.478887	2022-May-06 11:56:05.728149
"VectorVectorContainer"	ParallelInplace#2	"bn-65-1K.edges"	1.03467	11672	2022-May-06 11:56:05.728393	2022-May-06 11:56:05.731609
"VectorVectorContainer"	ParallelInplace#2	"bn-100k-662k.edges"	289.77	1.2116e+07	2022-May-06 11:56:05.731746	2022-May-06 11:56:06.670208
"VectorVectorContainer"	ParallelInplace#2	"bn-434k-16M.edges"	4426.96	1.32191e+08	2022-May-06 11:56:06.670451	2022-May-06 11:56:21.002021
"VectorVectorContainer"	ParallelInplace#2	"bn-449k-3.3M.edges"	1391.54	6.10743e+07	2022-May-06 11:56:21.002284	2022-May-06 11:56:25.513727
"VectorVectorContainer"	ParallelInplace#2	"bn-800-19k.edges"	8.857	158724	2022-May-06 11:56:25.513958	2022-May-06 11:56:25.541743
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	35834.2	1.02127e+09	2022-May-06 11:56:25.541924	2022-May-06 11:58:21.014622
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	35834.6	1.02893e+09	2022-May-06 11:58:21.014886	2022-May-06 12:00:16.545239
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	39680.2	1.11158e+09	2022-May-06 12:00:16.545482	2022-May-06 12:02:24.511389
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	33421.8	9.87e+08	2022-May-06 12:02:24.511645	2022-May-06 12:04:12.359727
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025889_session_2_130M.edges"	31810.7	9.68121e+08	2022-May-06 12:04:12.362570	2022-May-06 12:05:55.016292
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025914_session_2_100M.edges"	25240.5	7.84465e+08	2022-May-06 12:05:55.017098	2022-May-06 12:07:16.483732
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025916_session_1_110M.edges"	27128.8	7.91512e+08	2022-May-06 12:07:16.485939	2022-May-06 12:08:43.959613
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M7101234.edges"	14604.9	4.11658e+08	2022-May-06 12:08:43.960461	2022-May-06 12:09:31.127649
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M8703600.edges"	13779	4.18059e+08	2022-May-06 12:09:31.127889	2022-May-06 12:10:15.529695
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101049_190M.edges"	45951.6	1.26237e+09	2022-May-06 12:10:15.529967	2022-May-06 12:12:43.473152
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101705_200M.edges"	47366.8	1.30709e+09	2022-May-06 12:12:43.474303	2022-May-06 12:15:16.099904
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104201_190M.edges"	45029	1.2628e+09	2022-May-06 12:15:16.100147	2022-May-06 12:17:41.243875
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104300_70M.edges"	17570.9	5.85246e+08	2022-May-06 12:17:41.246703	2022-May-06 12:18:38.026351
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104509_50M.edges"	13201.6	4.37708e+08	2022-May-06 12:18:38.026574	2022-May-06 12:19:20.622398
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87107781_70M.edges"	18211.2	5.73607e+08	2022-May-06 12:19:20.622611	2022-May-06 12:20:19.460023
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87110148_140M.edges"	34712.5	1.01847e+09	2022-May-06 12:20:19.460962	2022-May-06 12:22:11.366232
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87110650_40M.edges"	11020	4.14864e+08	2022-May-06 12:22:11.367049	2022-May-06 12:22:46.986528
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87112427_170M.edges"	40553.7	1.13409e+09	2022-May-06 12:22:46.986741	2022-May-06 12:24:57.660018
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113679_60M.edges"	16194.8	5.2938e+08	2022-May-06 12:24:57.660248	2022-May-06 12:25:49.912712
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113878.edges"	63209.8	1.66355e+09	2022-May-06 12:25:49.912978	2022-May-06 12:29:13.344327
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87116523_80M.edges"	17737.2	4.80498e+08	2022-May-06 12:29:13.348895	2022-May-06 12:30:10.585128
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87117093_120M.edges"	30310.7	8.72591e+08	2022-May-06 12:30:10.585342	2022-May-06 12:31:48.318405
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118347_80M.edges"	18614.8	5.19473e+08	2022-May-06 12:31:48.318633	2022-May-06 12:32:48.367035
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118465_180M.edges"	43626.6	1.20304e+09	2022-May-06 12:32:48.367244	2022-May-06 12:35:08.906421
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87119472_60M.edges"	15539.4	4.72964e+08	2022-May-06 12:35:08.907350	2022-May-06 12:35:59.051145
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87124563_160M.edges"	39072	1.10504e+09	2022-May-06 12:35:59.051374	2022-May-06 12:38:04.934641
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87125286_210M.edges"	49307.7	1.36386e+09	2022-May-06 12:38:04.935539	2022-May-06 12:40:43.870071
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87125334_40M.edges"	10993.5	3.9585e+08	2022-May-06 12:40:43.870306	2022-May-06 12:41:19.503938
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87127677_210M.edges"	50110.4	1.37187e+09	2022-May-06 12:41:19.504149	2022-May-06 12:44:00.813222
"VectorVectorContainer"	ParallelInplace#2	"C2000-9.edges"	377.51	1.03272e+07	2022-May-06 12:44:00.814161	2022-May-06 12:44:02.036068
"VectorVectorContainer"	ParallelInplace#2	"ca-hollywood-2009.edges"	13987.6	3.99948e+08	2022-May-06 12:44:02.036295	2022-May-06 12:44:47.424816
"VectorVectorContainer"	ParallelInplace#2	"ca-IMDB.edges"	1369.49	6.40467e+07	2022-May-06 12:44:47.425083	2022-May-06 12:44:51.919542
"VectorVectorContainer"	ParallelInplace#2	"cit-patent1.edges"	7266.07	3.26323e+08	2022-May-06 12:44:51.919773	2022-May-06 12:45:15.670402
"VectorVectorContainer"	ParallelInplace#2	"data_files.txt"	1.472	1200	2022-May-06 12:45:15.670657	2022-May-06 12:45:15.675098
"VectorVectorContainer"	ParallelInplace#2	"data_files_test.txt"	1.382	1200	2022-May-06 12:45:15.675243	2022-May-06 12:45:15.679411
"VectorVectorContainer"	ParallelInplace#2	"datafiles_par.txt"	0.845667	1200	2022-May-06 12:45:15.679554	2022-May-06 12:45:15.682111
"VectorVectorContainer"	ParallelInplace#2	"datafiles_seq.txt"	0.45	1200	2022-May-06 12:45:15.682242	2022-May-06 12:45:15.683612
"VectorVectorContainer"	ParallelInplace#2	"delaunay_n24_50M.edges"	30530.5	1.59512e+09	2022-May-06 12:45:15.683737	2022-May-06 12:46:55.881914
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale20-ef16_adj_30M.edges"	11540.2	2.28144e+08	2022-May-06 12:46:55.882161	2022-May-06 12:47:33.029469
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale22-ef16_adj_130M.edges"	52321.1	9.17792e+08	2022-May-06 12:47:33.029687	2022-May-06 12:50:20.707128
