"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"edgecentric parallel"	ParallelInplace#2	"soc-livejournal.mtx"	3.39943	154.693	2022-Jun-20 15:38:14.280497	2022-Jun-20 15:39:13.463056
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	17.8	649.051	2022-Jun-20 15:39:13.463259	2022-Jun-20 15:45:12.828514
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87114342_90M.edges"	9.94336	354.945	2022-Jun-20 15:45:12.910205	2022-Jun-20 15:48:24.412789
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	14.5136	539.351	2022-Jun-20 15:48:24.412991	2022-Jun-20 15:53:09.928807
"edgecentric parallel"	ParallelInplace#2	"rgg_n_2_22_s0_30M.edges"	3.94183	347.433	2022-Jun-20 15:53:09.929012	2022-Jun-20 15:54:27.109970
"edgecentric parallel"	ParallelInplace#2	"bn-7k-50k.edges"	0.0067178	0.287754	2022-Jun-20 15:54:27.110177	2022-Jun-20 15:54:27.222893
"edgecentric parallel"	ParallelInplace#2	"soc-orkut-dir_120M.edges"	12.1314	467.81	2022-Jun-20 15:54:27.223058	2022-Jun-20 15:58:31.386301
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87125334_40M.edges"	4.36136	159.23	2022-Jun-20 15:58:31.386508	2022-Jun-20 15:59:55.443652
"edgecentric parallel"	ParallelInplace#2	"socfb-Michigan23.mtx"	0.13761	4.82734	2022-Jun-20 15:59:55.443819	2022-Jun-20 15:59:57.871442
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87101705_200M.edges"	21.8701	773.344	2022-Jun-20 15:59:57.871617	2022-Jun-20 16:07:01.176811
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87116523_80M.edges"	8.20426	298.36	2022-Jun-20 16:07:01.207294	2022-Jun-20 16:09:38.811351
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025889_session_2_130M.edges"	13.7158	508.779	2022-Jun-20 16:09:38.811525	2022-Jun-20 16:14:15.171264
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87107781_70M.edges"	7.46324	282.791	2022-Jun-20 16:14:15.179195	2022-Jun-20 16:16:41.973754
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87113878.edges"	25.8643	1027.26	2022-Jun-20 16:16:41.973960	2022-Jun-20 16:25:20.590297
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025919_session_1.edges"	19.5278	776.731	2022-Jun-20 16:25:20.626562	2022-Jun-20 16:31:48.646560
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87110148_140M.edges"	14.6251	552.866	2022-Jun-20 16:31:48.646731	2022-Jun-20 16:36:32.503953
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87112427_170M.edges"	17.2135	658.656	2022-Jun-20 16:36:32.504161	2022-Jun-20 16:42:17.098676
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87124563_160M.edges"	16.2673	620.008	2022-Jun-20 16:42:17.149763	2022-Jun-20 16:47:33.670053
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87110650_40M.edges"	4.25008	159.914	2022-Jun-20 16:47:33.670248	2022-Jun-20 16:48:55.548921
"edgecentric parallel"	ParallelInplace#2	"data_files.txt"	0.0019472	0	2022-Jun-20 16:48:55.549103	2022-Jun-20 16:48:55.569321
"edgecentric parallel"	ParallelInplace#2	"ca-IMDB.edges"	0.401516	18.972	2022-Jun-20 16:48:55.569426	2022-Jun-20 16:49:03.044543
"edgecentric parallel"	ParallelInplace#2	"bn-449k-3.3M.edges"	0.369631	16.0682	2022-Jun-20 16:49:03.044711	2022-Jun-20 16:49:09.759411
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87117093_120M.edges"	12.1709	480.235	2022-Jun-20 16:49:09.759552	2022-Jun-20 16:53:11.252305
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87104509_50M.edges"	5.05578	196.355	2022-Jun-20 16:53:11.285855	2022-Jun-20 16:54:49.697155
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025913_session_2_180M.edges"	18.6257	707.25	2022-Jun-20 16:54:49.697338	2022-Jun-20 17:01:03.449910
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M8703600.edges"	5.22808	199.79	2022-Jun-20 17:01:03.491479	2022-Jun-20 17:02:44.402296
"edgecentric parallel"	ParallelInplace#2	"tech-ip.edges"	2.17083	107.265	2022-Jun-20 17:02:44.402499	2022-Jun-20 17:03:26.308726
"edgecentric parallel"	ParallelInplace#2	"bn-100k-662k.edges"	0.0673169	3.39951	2022-Jun-20 17:03:26.308911	2022-Jun-20 17:03:27.564603
"edgecentric parallel"	ParallelInplace#2	"C2000-9.edges"	0.155574	7.08711	2022-Jun-20 17:03:27.564791	2022-Jun-20 17:03:30.529357
"edgecentric parallel"	ParallelInplace#2	"ca-hollywood-2009.edges"	5.55527	223.348	2022-Jun-20 17:03:30.529529	2022-Jun-20 17:05:17.868785
"edgecentric parallel"	ParallelInplace#2	"tech-as-skitter.mtx"	1.13708	60.5325	2022-Jun-20 17:05:17.868985	2022-Jun-20 17:05:39.842672
"edgecentric parallel"	ParallelInplace#2	"graph500-scale22-ef16_adj_130M.edges"	15.5829	1467.06	2022-Jun-20 17:05:39.842846	2022-Jun-20 17:10:51.411240
"edgecentric parallel"	ParallelInplace#2	"socfb-Texas84.mtx"	0.161837	6.5024	2022-Jun-20 17:10:51.411985	2022-Jun-20 17:10:54.375469
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	15.389	583.425	2022-Jun-20 17:10:54.375635	2022-Jun-20 17:15:53.599505
"edgecentric parallel"	ParallelInplace#2	"scc_fb-messages.mtx"	0.0498018	2.10394	2022-Jun-20 17:15:53.599682	2022-Jun-20 17:15:54.517640
"edgecentric parallel"	ParallelInplace#2	"delaunay_n24_50M.edges"	6.42372	561.956	2022-Jun-20 17:15:54.517813	2022-Jun-20 17:18:00.907684
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	15.4866	579.31	2022-Jun-20 17:18:00.922203	2022-Jun-20 17:23:02.936691
"edgecentric parallel"	ParallelInplace#2	"web-Stanford.mtx"	0.248652	12.4465	2022-Jun-20 17:23:02.950491	2022-Jun-20 17:23:07.641521
"edgecentric parallel"	ParallelInplace#2	"socfb-uci-uni_90M.edges"	11.8727	1045.16	2022-Jun-20 17:23:07.641635	2022-Jun-20 17:27:04.410740
"edgecentric parallel"	ParallelInplace#2	"soc-sinaweibo_260M.edges"	32.4184	-1119.59	2022-Jun-20 17:27:04.423174	2022-Jun-20 17:37:58.708425
"edgecentric parallel"	ParallelInplace#2	"cit-patent1.edges"	1.80267	79.6194	2022-Jun-20 17:37:58.724030	2022-Jun-20 17:38:33.123232
"edgecentric parallel"	ParallelInplace#2	"soc-orkut_106M.edges"	13.4751	1217.04	2022-Jun-20 17:38:33.123425	2022-Jun-20 17:42:57.774569
"edgecentric parallel"	ParallelInplace#2	"sc-ldoor_20M.edges"	2.44994	237.474	2022-Jun-20 17:42:57.774777	2022-Jun-20 17:43:46.381805
"edgecentric parallel"	ParallelInplace#2	"web-wikipedia2009.mtx"	0.512087	32.5314	2022-Jun-20 17:43:46.381987	2022-Jun-20 17:43:56.097969
"edgecentric parallel"	ParallelInplace#2	"bn-800-19k.edges"	0.0073168	0.0806618	2022-Jun-20 17:43:56.098144	2022-Jun-20 17:43:56.201692
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87127677_210M.edges"	21.6116	802.825	2022-Jun-20 17:43:56.201851	2022-Jun-20 17:50:53.615575
"edgecentric parallel"	ParallelInplace#2	"socfb-B-anon_20M.edges"	2.52188	239.829	2022-Jun-20 17:50:53.615751	2022-Jun-20 17:51:43.642628
"edgecentric parallel"	ParallelInplace#2	"soc-orkut.edges"	11.2743	470.782	2022-Jun-20 17:51:43.642830	2022-Jun-20 17:55:26.195369
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87104300_70M.edges"	7.05997	264.444	2022-Jun-20 17:55:26.238325	2022-Jun-20 17:57:43.765563
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87118347_80M.edges"	8.21577	304.002	2022-Jun-20 17:57:43.765755	2022-Jun-20 18:00:20.810744
"edgecentric parallel"	ParallelInplace#2	"bn-1.8M-166M.edges"	17.769	639.302	2022-Jun-20 18:00:20.824719	2022-Jun-20 18:06:17.469162
"edgecentric parallel"	ParallelInplace#2	"soc-google-plus.txt"	0.163311	7.69634	2022-Jun-20 18:06:17.484837	2022-Jun-20 18:06:20.523249
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87113679_60M.edges"	6.57101	244.296	2022-Jun-20 18:06:20.523428	2022-Jun-20 18:08:27.895061
"edgecentric parallel"	ParallelInplace#2	"tech-as-skitter_10M.mtx"	1.12809	60.5325	2022-Jun-20 18:08:27.895262	2022-Jun-20 18:08:50.127660
"edgecentric parallel"	ParallelInplace#2	"soc-wiki-Talk-dir.mtx"	0.559706	22.3804	2022-Jun-20 18:08:50.127811	2022-Jun-20 18:09:00.585271
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025914_session_2_100M.edges"	11.5496	398.634	2022-Jun-20 18:09:00.585444	2022-Jun-20 18:12:39.098239
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87101049_190M.edges"	20.0501	739.393	2022-Jun-20 18:12:39.098413	2022-Jun-20 18:19:22.995401
"edgecentric parallel"	ParallelInplace#2	"bn-34k-181k.edges"	0.0243508	1.16814	2022-Jun-20 18:19:23.010442	2022-Jun-20 18:19:23.420287
"edgecentric parallel"	ParallelInplace#2	"graph500-scale20-ef16_adj_30M.edges"	3.8673	358.906	2022-Jun-20 18:19:23.420468	2022-Jun-20 18:20:39.250749
"edgecentric parallel"	ParallelInplace#2	"soc-pokec.mtx"	2.39122	111.645	2022-Jun-20 18:20:39.250953	2022-Jun-20 18:21:25.330131
"edgecentric parallel"	ParallelInplace#2	"bn-434k-16M.edges"	1.58177	65.2028	2022-Jun-20 18:21:25.330319	2022-Jun-20 18:21:55.939275
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025919_session_1_200M.edges"	21.0287	776.731	2022-Jun-20 18:21:55.939457	2022-Jun-20 18:28:45.391436
"edgecentric parallel"	ParallelInplace#2	"socf-konect.edges"	11.7239	807.587	2022-Jun-20 18:28:45.391615	2022-Jun-20 18:32:41.516225
"edgecentric parallel"	ParallelInplace#2	"tech-p2p-gnutella.mtx"	0.0168606	1.0662	2022-Jun-20 18:32:41.523975	2022-Jun-20 18:32:41.832663
"edgecentric parallel"	ParallelInplace#2	"hugetric-00010_10M.mtx"	1.23331	113.085	2022-Jun-20 18:32:41.832772	2022-Jun-20 18:33:06.268994
"edgecentric parallel"	ParallelInplace#2	"bn-human-BNU_1_0025916_session_1_110M.edges"	11.3396	434.546	2022-Jun-20 18:33:06.269159	2022-Jun-20 18:36:49.884687
"edgecentric parallel"	ParallelInplace#2	"bn-65-1K.edges"	0.0018716	0.00535965	2022-Jun-20 18:36:49.884862	2022-Jun-20 18:36:49.905622
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87125286_210M.edges"	19.3091	806.652	2022-Jun-20 18:36:49.905778	2022-Jun-20 18:43:18.001214
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87104201_190M.edges"	17.3831	734.784	2022-Jun-20 18:43:18.037302	2022-Jun-20 18:48:54.031301
"edgecentric parallel"	ParallelInplace#2	"socfb-UIllinois20.mtx"	0.108369	5.18054	2022-Jun-20 18:48:54.031485	2022-Jun-20 18:48:56.043202
"edgecentric parallel"	ParallelInplace#2	"livejournal_160M.edges"	15.4584	663.618	2022-Jun-20 18:48:56.043373	2022-Jun-20 18:53:53.929990
"edgecentric parallel"	ParallelInplace#2	"bn-human-Jung2015_M87119472_60M.edges"	5.49538	233.401	2022-Jun-20 18:53:53.951818	2022-Jun-20 18:55:39.459435
