Algorithm Name,Type,Graph Name,Average Time,Average Memory
VectorVectorContainer,Sequential,soc-livejournal.mtx,6.91445,382.346
VectorSetContainer,Sequential,soc-livejournal.mtx,10.1391,1431.77
VectorUnorderedSetContainer,Sequential,soc-livejournal.mtx,11.529,1371.4
MapVectorContainer,Sequential,soc-livejournal.mtx,18.8171,387.486
MapSetContainer,Sequential,soc-livejournal.mtx,22.1926,1400.76
MapUnorderedSetContainer,Sequential,soc-livejournal.mtx,22.8796,1301.12
UnorderedMapVectorContainer,Sequential,soc-livejournal.mtx,8.79423,341.595
UnorderedMapSetContainer,Sequential,soc-livejournal.mtx,11.833,1354.87
UnorderedMapUnorderedSetContainer,Sequential,soc-livejournal.mtx,12.485,1255.22
VectorVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,27.3047,986.398
VectorSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,75.1508,6560.45
VectorUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,63.0187,4621.94
MapVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,85.2415,968.205
MapSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,131.025,6496.11
MapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,122.17,4542.21
UnorderedMapVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,35.9225,965.1
UnorderedMapSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,79.1857,6490.37
UnorderedMapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,70.8942,4536.48
VectorVectorContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,15.828,551.027
VectorSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,35.8152,3580.49
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,33.9036,2540.07
MapVectorContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,47.6589,557.181
MapSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,68.846,3556.67
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,66.5691,2506.27
