"Algorithm Name",Type,"Graph Name","Average Time","Average Memory"
"VectorVectorContainer",Sequential,"bn 100k 662k.edges",116.205,
"VectorSetContainer",Sequential,"bn 100k 662k.edges",103.66,
"VectorUnorderedSetContainer",Sequential,"bn 100k 662k.edges",106.453,
"MapVectorContainer",Sequential,"bn 100k 662k.edges",115.399,
"MapSetContainer",Sequential,"bn 100k 662k.edges",181.768,
"MapUnorderedSetContainer",Sequential,"bn 100k 662k.edges",124.28,
"UnorderedMapVectorContainer",Sequential,"bn 100k 662k.edges",99.196,
"UnorderedMapSetContainer",Sequential,"bn 100k 662k.edges",103.577,
"UnorderedMapUnorderedSetContainer",Sequential,"bn 100k 662k.edges",102.042,
"VectorVectorContainer",Sequential,"bn-100k-662k.edges",107.092,
"VectorSetContainer",Sequential,"bn-100k-662k.edges",92.151,
"VectorUnorderedSetContainer",Sequential,"bn-100k-662k.edges",89.814,
"MapVectorContainer",Sequential,"bn-100k-662k.edges",94.405,
"MapSetContainer",Sequential,"bn-100k-662k.edges",113.937,
"MapUnorderedSetContainer",Sequential,"bn-100k-662k.edges",117.34,
"UnorderedMapVectorContainer",Sequential,"bn-100k-662k.edges",96.103,
"UnorderedMapSetContainer",Sequential,"bn-100k-662k.edges",101.017,
"UnorderedMapUnorderedSetContainer",Sequential,"bn-100k-662k.edges",97.772,
