"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	Sequential	"C2000-9.edges"	446.404	1.02348e+07	2022-Apr-24 22:35:28.143359	2022-Apr-24 22:35:32.879483
"VectorVectorContainer"	Sequential	"bn-1.8M-166M.edges"	45674.5	1.00489e+09	2022-Apr-24 22:35:32.879762	2022-Apr-24 22:43:35.188527
"VectorVectorContainer"	Sequential	"bn-100k-662k.edges"	283.468	8.3899e+06	2022-Apr-24 22:43:35.188782	2022-Apr-24 22:43:38.267244
"VectorVectorContainer"	Sequential	"bn-34k-181k.edges"	70.6018	1.92114e+06	2022-Apr-24 22:43:38.267454	2022-Apr-24 22:43:39.043247
"VectorVectorContainer"	Sequential	"bn-434k-16M.edges"	4864.88	1.1059e+08	2022-Apr-24 22:43:39.043461	2022-Apr-24 22:44:30.913603
"VectorVectorContainer"	Sequential	"bn-449k-3.3M.edges"	1384.48	4.13662e+07	2022-Apr-24 22:44:30.913837	2022-Apr-24 22:44:45.960638
"VectorVectorContainer"	Sequential	"bn-65-1K.edges"	0.4255	8424	2022-Apr-24 22:44:45.960875	2022-Apr-24 22:44:45.965386
"VectorVectorContainer"	Sequential	"bn-7k-50k.edges"	18.7517	460404	2022-Apr-24 22:44:45.965537	2022-Apr-24 22:44:46.168540
"VectorVectorContainer"	Sequential	"bn-800-19k.edges"	5.887	129996	2022-Apr-24 22:44:46.168743	2022-Apr-24 22:44:46.231166
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	41629	9.21439e+08	2022-Apr-24 22:44:46.231351	2022-Apr-24 22:52:05.853718
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	41910.9	9.32549e+08	2022-Apr-24 22:52:05.853991	2022-Apr-24 22:59:28.435739
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	46673	1.03431e+09	2022-Apr-24 22:59:28.435982	2022-Apr-24 23:07:41.316636
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	39176.9	8.9148e+08	2022-Apr-24 23:07:41.316870	2022-Apr-24 23:14:35.411849
