"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#2	"bn-449k-3.3M.edges"	324.027	6.10743e+07	2022-Apr-24 22:19:09.184128	2022-Apr-24 22:19:10.840176
"VectorVectorContainer"	ParallelInplace#2	"bn-7k-50k.edges"	11.7566	734524	2022-Apr-24 22:19:10.840322	2022-Apr-24 22:19:10.900197
"VectorVectorContainer"	ParallelInplace#2	"bn-34k-181k.edges"	31.479	3.3699e+06	2022-Apr-24 22:19:10.900283	2022-Apr-24 22:19:11.061286
"VectorVectorContainer"	ParallelInplace#2	"bn-434k-16M.edges"	1826.69	1.32191e+08	2022-Apr-24 22:19:11.061384	2022-Apr-24 22:19:20.297019
"VectorVectorContainer"	ParallelInplace#2	"bn-800-19k.edges"	4.1474	158724	2022-Apr-24 22:19:20.297143	2022-Apr-24 22:19:20.318056
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	10907.2	1.02127e+09	2022-Apr-24 22:19:20.318255	2022-Apr-24 22:20:15.199016
"VectorVectorContainer"	ParallelInplace#2	"bn-65-1K.edges"	1.0624	11672	2022-Apr-24 22:20:15.199133	2022-Apr-24 22:20:15.204467
"VectorVectorContainer"	ParallelInplace#2	"bn-100k-662k.edges"	76.9376	1.2116e+07	2022-Apr-24 22:20:15.204569	2022-Apr-24 22:20:15.600923
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	9842.55	1.02893e+09	2022-Apr-24 22:20:15.601161	2022-Apr-24 22:21:05.134805
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	11067	1.11158e+09	2022-Apr-24 22:21:05.134925	2022-Apr-24 22:22:00.798277
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	9164.55	9.87e+08	2022-Apr-24 22:22:00.798390	2022-Apr-24 22:22:46.948542
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025889_session_2_130M.edges"	8912.55	9.68121e+08	2022-Apr-24 22:22:46.948744	2022-Apr-24 22:23:31.802064
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025913_session_2_180M.edges"	19466.8	1.20509e+09	2022-Apr-24 22:26:33.907986	2022-Apr-24 22:28:11.586953
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025914_session_2_100M.edges"	11877.8	7.84465e+08	2022-Apr-24 22:28:11.587067	2022-Apr-24 22:29:11.246057
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025916_session_1_110M.edges"	12758	7.91512e+08	2022-Apr-24 22:29:11.246167	2022-Apr-24 22:30:15.300788
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025919_session_1.edges"	22889.8	1.32208e+09	2022-Apr-24 22:30:15.300935	2022-Apr-24 22:32:10.098824
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025919_session_1_200M.edges"	22806.4	1.32208e+09	2022-Apr-24 22:32:10.098922	2022-Apr-24 22:34:04.479626
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M7101234.edges"	7008.83	4.11658e+08	2022-Apr-24 22:34:04.479730	2022-Apr-24 22:34:39.632954
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M8703600.edges"	5772.15	4.18059e+08	2022-Apr-24 22:34:39.633054	2022-Apr-24 22:35:08.721024
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101049_190M.edges"	22622.3	1.26237e+09	2022-Apr-24 22:35:08.721127	2022-Apr-24 22:37:02.202567
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101705_200M.edges"	22416.4	1.30709e+09	2022-Apr-24 22:37:02.312721	2022-Apr-24 22:38:54.791439
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104201_190M.edges"	21434.7	1.2628e+09	2022-Apr-24 22:38:54.791545	2022-Apr-24 22:40:42.319915
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104300_70M.edges"	7732.13	5.85246e+08	2022-Apr-24 22:40:42.320005	2022-Apr-24 22:41:21.230842
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104509_50M.edges"	5722.34	4.37708e+08	2022-Apr-24 22:41:21.230951	2022-Apr-24 22:41:50.029860
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87107781_70M.edges"	8217.52	5.73607e+08	2022-Apr-24 22:41:50.029957	2022-Apr-24 22:42:31.348709
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87110148_140M.edges"	16015.9	1.01847e+09	2022-Apr-24 22:42:31.348806	2022-Apr-24 22:43:51.769648
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87110650_40M.edges"	4761.36	4.14864e+08	2022-Apr-24 22:43:52.040561	2022-Apr-24 22:44:16.014543
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87112427_170M.edges"	19381.3	1.13409e+09	2022-Apr-24 22:44:16.014648	2022-Apr-24 22:45:53.265973
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113679_60M.edges"	7146.24	5.2938e+08	2022-Apr-24 22:45:53.266073	2022-Apr-24 22:46:29.214639
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113878.edges"	11735.4	6.6032e+08	2022-Apr-24 22:46:29.214738	2022-Apr-24 22:47:28.061331
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87114342_90M.edges"	10337.5	6.55023e+08	2022-Apr-24 22:47:28.061432	2022-Apr-24 22:48:20.017687
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87116523_80M.edges"	8523.43	4.80498e+08	2022-Apr-24 22:48:20.017783	2022-Apr-24 22:49:02.755576
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87117093_120M.edges"	14176.8	8.72591e+08	2022-Apr-24 22:49:02.755678	2022-Apr-24 22:50:13.938048
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118347_80M.edges"	8673.98	5.19473e+08	2022-Apr-24 22:50:13.938151	2022-Apr-24 22:50:57.455809
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118465_180M.edges"	21457.5	1.20304e+09	2022-Apr-24 22:50:57.455908	2022-Apr-24 22:52:45.084732
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87119472_60M.edges"	6785.36	4.72964e+08	2022-Apr-24 22:52:45.084834	2022-Apr-24 22:53:19.223392
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87124563_160M.edges"	18395.2	1.10504e+09	2022-Apr-24 22:53:19.223489	2022-Apr-24 22:54:51.532465
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87125286_210M.edges"	25265.8	1.36386e+09	2022-Apr-24 22:54:51.637838	2022-Apr-24 22:56:58.363649
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87125334_40M.edges"	4707.91	3.9585e+08	2022-Apr-24 22:56:58.402155	2022-Apr-24 22:57:22.140620
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87127677_210M.edges"	23457.8	1.37187e+09	2022-Apr-24 22:57:22.140716	2022-Apr-24 22:59:19.884849
"VectorVectorContainer"	ParallelInplace#2	"C2000-9.edges"	177.839	1.03272e+07	2022-Apr-24 22:59:19.884941	2022-Apr-24 22:59:20.775057
"VectorVectorContainer"	ParallelInplace#2	"ca-hollywood-2009.edges"	6381.67	3.99948e+08	2022-Apr-24 22:59:20.775240	2022-Apr-24 22:59:52.934421
"VectorVectorContainer"	ParallelInplace#2	"ca-IMDB.edges"	522.715	6.40467e+07	2022-Apr-24 22:59:52.934534	2022-Apr-24 22:59:55.669399
"VectorVectorContainer"	ParallelInplace#2	"cit-patent1.edges"	2359.91	3.26323e+08	2022-Apr-24 22:59:55.669523	2022-Apr-24 23:00:07.891020
"VectorVectorContainer"	ParallelInplace#2	"delaunay_n24_50M.edges"	8671.74	1.58615e+09	2022-Apr-24 23:00:07.891115	2022-Apr-24 23:00:53.100718
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale20-ef16_adj_30M.edges"	5217.9	2.28144e+08	2022-Apr-24 23:00:53.205535	2022-Apr-24 23:01:19.743210
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale22-ef16_adj_130M.edges"	23921.7	9.17792e+08	2022-Apr-24 23:01:19.743322	2022-Apr-24 23:03:21.268762
"VectorVectorContainer"	ParallelInplace#2	"hugetric-00010_10M.mtx"	2315	7.76008e+08	2022-Apr-24 23:03:21.268864	2022-Apr-24 23:03:34.132945
"VectorVectorContainer"	ParallelInplace#2	"livejournal_160M.edges"	19330.7	1.20569e+09	2022-Apr-24 23:03:34.133046	2022-Apr-24 23:05:12.099309
"VectorVectorContainer"	ParallelInplace#2	"rgg_n_2_22_s0_30M.edges"	4427.57	3.68672e+08	2022-Apr-24 23:05:12.209395	2022-Apr-24 23:05:34.975042
"VectorVectorContainer"	ParallelInplace#2	"scc_fb-messages.mtx"	78.3556	3.17818e+06	2022-Apr-24 23:05:34.975254	2022-Apr-24 23:05:35.367645
"VectorVectorContainer"	ParallelInplace#2	"sc-ldoor_20M.edges"	2525.97	1.96527e+08	2022-Apr-24 23:05:35.367777	2022-Apr-24 23:05:48.286362
"VectorVectorContainer"	ParallelInplace#2	"socfb-B-anon_20M.edges"	3898.34	3.11516e+08	2022-Apr-24 23:05:48.286461	2022-Apr-24 23:06:08.815651
"VectorVectorContainer"	ParallelInplace#2	"socfb-Michigan23.mtx"	155.846	8.81122e+06	2022-Apr-24 23:06:08.815753	2022-Apr-24 23:06:09.609092
"VectorVectorContainer"	ParallelInplace#2	"socfb-Texas84.mtx"	192.284	1.13914e+07	2022-Apr-24 23:06:09.609458	2022-Apr-24 23:06:10.588395
"VectorVectorContainer"	ParallelInplace#2	"socfb-uci-uni_90M.edges"	21958.6	7.26437e+09	2022-Apr-24 23:06:10.588598	2022-Apr-24 23:08:10.922579
"VectorVectorContainer"	ParallelInplace#2	"socfb-UIllinois20.mtx"	472.04	9.31808e+06	2022-Apr-24 23:08:10.922684	2022-Apr-24 23:08:13.312801
