"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	Sequential	"bn-449k-3.3M.edges"	496.848	4.13662e+07	2022-Apr-25 13:43:16.989057	2022-Apr-25 13:43:19.554751
"VectorVectorContainer"	Sequential	"bn-7k-50k.edges"	6.0798	460404	2022-Apr-25 13:43:19.555047	2022-Apr-25 13:43:19.586203
"VectorVectorContainer"	Sequential	"bn-34k-181k.edges"	22.1944	1.92114e+06	2022-Apr-25 13:43:19.586276	2022-Apr-25 13:43:19.701146
"VectorVectorContainer"	Sequential	"bn-434k-16M.edges"	1847.15	1.1059e+08	2022-Apr-25 13:43:19.701242	2022-Apr-25 13:43:29.061190
"VectorVectorContainer"	Sequential	"bn-800-19k.edges"	2.54	129996	2022-Apr-25 13:43:29.061301	2022-Apr-25 13:43:29.074077
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	18910.3	9.21439e+08	2022-Apr-25 13:43:29.074144	2022-Apr-25 13:45:03.860470
"VectorVectorContainer"	Sequential	"bn-65-1K.edges"	0.4892	8424	2022-Apr-25 13:45:03.860597	2022-Apr-25 13:45:03.899327
"VectorVectorContainer"	Sequential	"bn-100k-662k.edges"	82.5544	8.3899e+06	2022-Apr-25 13:45:03.899426	2022-Apr-25 13:45:04.330725
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	18693.7	9.32549e+08	2022-Apr-25 13:45:04.330841	2022-Apr-25 13:46:38.026933
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	20870.6	1.03431e+09	2022-Apr-25 13:46:38.027049	2022-Apr-25 13:48:22.630105
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	17719.8	8.9148e+08	2022-Apr-25 13:48:22.630221	2022-Apr-25 13:49:51.473398
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025889_session_2_130M.edges"	16106.3	8.80513e+08	2022-Apr-25 13:49:51.473995	2022-Apr-25 13:51:12.249187
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025913_session_2_180M.edges"	22363.7	1.10816e+09	2022-Apr-25 13:51:12.249288	2022-Apr-25 13:53:04.312767
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025914_session_2_100M.edges"	12881.7	6.91978e+08	2022-Apr-25 13:53:04.312895	2022-Apr-25 13:54:08.944913
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025916_session_1_110M.edges"	13787.2	6.98224e+08	2022-Apr-25 13:54:08.945030	2022-Apr-25 13:55:18.104481
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025919_session_1.edges"	24695.4	1.22544e+09	2022-Apr-25 13:55:18.104582	2022-Apr-25 13:57:21.828317
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025919_session_1_200M.edges"	28332.6	1.22544e+09	2022-Apr-25 13:57:21.828430	2022-Apr-25 13:59:43.738541
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M7101234.edges"	7846.39	3.88581e+08	2022-Apr-25 13:59:43.823734	2022-Apr-25 14:00:23.125897
