"Algorithm Name",Type,"Graph Name","Average Time","Average Memory"
"VectorVectorContainer",Sequential,"bn-7k-50k.edges",5.116,460404
"VectorSetContainer",Sequential,"bn-7k-50k.edges",7.21,2.37619e+06
"VectorUnorderedSetContainer",Sequential,"bn-7k-50k.edges",6.89067,2.2285e+06
"MapVectorContainer",Sequential,"bn-7k-50k.edges",6.298,733604
"MapSetContainer",Sequential,"bn-7k-50k.edges",8.17367,2.63163e+06
"MapUnorderedSetContainer",Sequential,"bn-7k-50k.edges",8.24233,2.47802e+06
"UnorderedMapVectorContainer",Sequential,"bn-7k-50k.edges",5.58233,641212
"UnorderedMapSetContainer",Sequential,"bn-7k-50k.edges",6.938,2.53924e+06
"UnorderedMapUnorderedSetContainer",Sequential,"bn-7k-50k.edges",7.13367,2.38562e+06
"VectorVectorContainer",Sequential,"bn-34k-181k.edges",20.287,1.92114e+06
"VectorSetContainer",Sequential,"bn-34k-181k.edges",26.9273,9.15273e+06
"VectorUnorderedSetContainer",Sequential,"bn-34k-181k.edges",31.652,9.34242e+06
"MapVectorContainer",Sequential,"bn-34k-181k.edges",26.1157,3.11581e+06
"MapSetContainer",Sequential,"bn-34k-181k.edges",33.492,1.01953e+07
"MapUnorderedSetContainer",Sequential,"bn-34k-181k.edges",35.3287,1.03343e+07
"UnorderedMapVectorContainer",Sequential,"bn-34k-181k.edges",22.4753,2.6441e+06
"UnorderedMapSetContainer",Sequential,"bn-34k-181k.edges",26.33,9.7236e+06
"UnorderedMapUnorderedSetContainer",Sequential,"bn-34k-181k.edges",25.9487,9.8626e+06
"VectorVectorContainer",Sequential,"bn-65-1K.edges",0.118667,8424
"VectorSetContainer",Sequential,"bn-65-1K.edges",0.153,50072
"VectorUnorderedSetContainer",Sequential,"bn-65-1K.edges",0.146,37624
"MapVectorContainer",Sequential,"bn-65-1K.edges",0.117,10328
"MapSetContainer",Sequential,"bn-65-1K.edges",0.165333,51280
"MapUnorderedSetContainer",Sequential,"bn-65-1K.edges",0.150667,38600
"UnorderedMapVectorContainer",Sequential,"bn-65-1K.edges",0.114,9784
"UnorderedMapSetContainer",Sequential,"bn-65-1K.edges",0.160333,50736
"UnorderedMapUnorderedSetContainer",Sequential,"bn-65-1K.edges",0.156,38056
"VectorVectorContainer",Sequential,"bn-100k-662k.edges",74.1747,8.3899e+06
"VectorSetContainer",Sequential,"bn-100k-662k.edges",97.3657,3.41787e+07
"VectorUnorderedSetContainer",Sequential,"bn-100k-662k.edges",87.81,2.9579e+07
"MapVectorContainer",Sequential,"bn-100k-662k.edges",96.673,9.67378e+06
"MapSetContainer",Sequential,"bn-100k-662k.edges",115.655,3.49452e+07
"MapUnorderedSetContainer",Sequential,"bn-100k-662k.edges",117.674,2.98333e+07
"UnorderedMapVectorContainer",Sequential,"bn-100k-662k.edges",84.119,8.75326e+06
"UnorderedMapSetContainer",Sequential,"bn-100k-662k.edges",99.633,3.40246e+07
"UnorderedMapUnorderedSetContainer",Sequential,"bn-100k-662k.edges",97.219,2.89127e+07
"VectorVectorContainer",Sequential,"bn-434k-16M.edges",1576.16,1.1059e+08
"VectorSetContainer",Sequential,"bn-434k-16M.edges",2603.84,6.79869e+08
"VectorUnorderedSetContainer",Sequential,"bn-434k-16M.edges",2355.28,4.96098e+08
"MapVectorContainer",Sequential,"bn-434k-16M.edges",2012.91,1.18804e+08
"MapSetContainer",Sequential,"bn-434k-16M.edges",2875.87,6.79162e+08
"MapUnorderedSetContainer",Sequential,"bn-434k-16M.edges",2821.19,4.92417e+08
"UnorderedMapVectorContainer",Sequential,"bn-434k-16M.edges",1744.59,1.14225e+08
"UnorderedMapSetContainer",Sequential,"bn-434k-16M.edges",2415.02,6.74584e+08
"UnorderedMapUnorderedSetContainer",Sequential,"bn-434k-16M.edges",2269.03,4.87839e+08
"VectorVectorContainer",Sequential,"bn-449k-3.3M.edges",386.922,4.13662e+07
"VectorSetContainer",Sequential,"bn-449k-3.3M.edges",474.209,1.70988e+08
"VectorUnorderedSetContainer",Sequential,"bn-449k-3.3M.edges",466.261,1.4463e+08
"MapVectorContainer",Sequential,"bn-449k-3.3M.edges",509.359,4.42885e+07
"MapSetContainer",Sequential,"bn-449k-3.3M.edges",620.338,1.68896e+08
"MapUnorderedSetContainer",Sequential,"bn-449k-3.3M.edges",625.556,1.39439e+08
"UnorderedMapVectorContainer",Sequential,"bn-449k-3.3M.edges",440.082,4.0087e+07
"UnorderedMapSetContainer",Sequential,"bn-449k-3.3M.edges",536.804,1.64694e+08
"UnorderedMapUnorderedSetContainer",Sequential,"bn-449k-3.3M.edges",528.943,1.35237e+08
"VectorVectorContainer",Sequential,"bn-800-19k.edges",1.72767,129996
"VectorSetContainer",Sequential,"bn-800-19k.edges",2.622,806112
"VectorUnorderedSetContainer",Sequential,"bn-800-19k.edges",2.553,580104
"MapVectorContainer",Sequential,"bn-800-19k.edges",1.97,160312
"MapSetContainer",Sequential,"bn-800-19k.edges",2.82467,835592
"MapUnorderedSetContainer",Sequential,"bn-800-19k.edges",2.69567,609304
"UnorderedMapVectorContainer",Sequential,"bn-800-19k.edges",1.813,150488
"UnorderedMapSetContainer",Sequential,"bn-800-19k.edges",2.68033,825768
"UnorderedMapUnorderedSetContainer",Sequential,"bn-800-19k.edges",2.60133,599480
"VectorVectorContainer",Sequential,"bn-human-BNU_1_0025868_session_1-bg_150M.edges",20452.9,9.21439e+08
"VectorSetContainer",Sequential,"bn-human-BNU_1_0025868_session_1-bg_150M.edges",25846.6,6.12817e+09
