"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025889_session_2_130M.edges"	5678.91	9.68121e+08	2022-May-31 19:10:28.520338	2022-May-31 19:10:45.798214
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale20-ef16_adj_30M.edges"	4144.3	2.28144e+08	2022-May-31 19:10:45.798320	2022-May-31 19:10:58.493461
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118347_80M.edges"	3135.93	5.19473e+08	2022-May-31 19:10:58.493543	2022-May-31 19:11:08.006827
"VectorVectorContainer"	ParallelInplace#2	"socf-konect.edges"	7594.03	5.02862e+09	2022-May-31 19:11:08.006905	2022-May-31 19:11:33.297841
"VectorVectorContainer"	ParallelInplace#2	"socfb-UIllinois20.mtx"	284.421	9.31808e+06	2022-May-31 19:11:33.297921	2022-May-31 19:11:34.160645
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025913_session_2_180M.edges"	7890.44	1.20509e+09	2022-May-31 19:11:34.160822	2022-May-31 19:11:58.112511
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025916_session_1_110M.edges"	4819.26	7.91512e+08	2022-May-31 19:11:58.112587	2022-May-31 19:12:12.746200
"VectorVectorContainer"	ParallelInplace#2	"livejournal_160M.edges"	7337.74	1.20569e+09	2022-May-31 19:12:12.746276	2022-May-31 19:12:35.646134
"VectorVectorContainer"	ParallelInplace#2	"tech-ip.edges"	1021.11	3.50804e+08	2022-May-31 19:12:35.646213	2022-May-31 19:12:38.921583
"VectorVectorContainer"	ParallelInplace#2	"bn-800-19k.edges"	2.24767	158724	2022-May-31 19:12:38.921659	2022-May-31 19:12:38.928466
"VectorVectorContainer"	ParallelInplace#2	"soc-wiki-Talk-dir.mtx"	279.737	1.98118e+08	2022-May-31 19:12:38.928539	2022-May-31 19:12:39.842674
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101049_190M.edges"	8117.4	1.26237e+09	2022-May-31 19:12:39.842855	2022-May-31 19:13:04.420864
"VectorVectorContainer"	ParallelInplace#2	"soc-orkut_106M.edges"	15139.1	8.15405e+08	2022-May-31 19:13:04.420940	2022-May-31 19:13:51.828756
"VectorVectorContainer"	ParallelInplace#2	"socfb-uci-uni_90M.edges"	16808.3	7.26437e+09	2022-May-31 19:13:51.828825	2022-May-31 19:14:48.474400
"VectorVectorContainer"	ParallelInplace#2	"soc-sinaweibo_260M.edges"	71474.2	7.8951e+09	2022-May-31 19:14:48.474506	2022-May-31 19:18:40.071418
"VectorVectorContainer"	ParallelInplace#2	"bn-7k-50k.edges"	2587.44	734524	2022-May-31 19:18:40.073726	2022-May-31 19:18:47.836446
"VectorVectorContainer"	ParallelInplace#2	"scc_fb-messages.mtx"	22.414	3.17818e+06	2022-May-31 19:18:47.836533	2022-May-31 19:18:47.916914
"VectorVectorContainer"	ParallelInplace#2	"soc-orkut.edges"	4877.28	8.07683e+08	2022-May-31 19:18:47.916999	2022-May-31 19:19:03.316321
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104509_50M.edges"	2182.8	4.37708e+08	2022-May-31 19:19:03.316400	2022-May-31 19:19:09.999209
"VectorVectorContainer"	ParallelInplace#2	"cit-patent1.edges"	955.743	3.26323e+08	2022-May-31 19:19:09.999301	2022-May-31 19:19:13.093972
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87107781_70M.edges"	3016.9	5.73607e+08	2022-May-31 19:19:13.094067	2022-May-31 19:19:22.282183
"VectorVectorContainer"	ParallelInplace#2	"web-Stanford.mtx"	151.889	3.54599e+07	2022-May-31 19:19:22.282261	2022-May-31 19:19:22.782431
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	7114.52	1.11158e+09	2022-May-31 19:19:22.782611	2022-May-31 19:19:44.324844
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	5840.97	9.87e+08	2022-May-31 19:19:44.324922	2022-May-31 19:20:02.041473
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87117093_120M.edges"	5247.15	8.72591e+08	2022-May-31 19:20:02.041550	2022-May-31 19:20:17.960813
"VectorVectorContainer"	ParallelInplace#2	"data_files.txt"	1.20167	1200	2022-May-31 19:20:17.960890	2022-May-31 19:20:17.964507
"VectorVectorContainer"	ParallelInplace#2	"hugetric-00010_10M.mtx"	1732.58	7.76008e+08	2022-May-31 19:20:17.964622	2022-May-31 19:20:24.022485
"VectorVectorContainer"	ParallelInplace#2	"datafiles_par.txt"	1.07967	1200	2022-May-31 19:20:24.022571	2022-May-31 19:20:24.025819
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101705_200M.edges"	8632.32	1.30709e+09	2022-May-31 19:20:24.025948	2022-May-31 19:20:50.147617
"VectorVectorContainer"	ParallelInplace#2	"tech-as-skitter.mtx"	587.334	1.40438e+08	2022-May-31 19:20:50.150908	2022-May-31 19:20:52.078556
"VectorVectorContainer"	ParallelInplace#2	"socfb-Texas84.mtx"	76.253	1.13914e+07	2022-May-31 19:20:52.078639	2022-May-31 19:20:52.318513
"VectorVectorContainer"	ParallelInplace#2	"soc-pokec.mtx"	1065.85	2.15424e+08	2022-May-31 19:20:52.318744	2022-May-31 19:20:55.800671
"VectorVectorContainer"	ParallelInplace#2	"web-wikipedia2009.mtx"	354.692	1.58422e+08	2022-May-31 19:20:55.800750	2022-May-31 19:20:57.019127
"VectorVectorContainer"	ParallelInplace#2	"ca-hollywood-2009.edges"	2375.12	3.99948e+08	2022-May-31 19:20:57.019206	2022-May-31 19:21:04.303814
"VectorVectorContainer"	ParallelInplace#2	"soc-google-plus.txt"	82.4533	3.1789e+07	2022-May-31 19:21:04.303894	2022-May-31 19:21:04.578911
"VectorVectorContainer"	ParallelInplace#2	"tech-as-skitter_10M.mtx"	611.699	1.40438e+08	2022-May-31 19:21:04.579137	2022-May-31 19:21:06.585974
"VectorVectorContainer"	ParallelInplace#2	"soc-orkut-dir_120M.edges"	5166.09	8.7866e+08	2022-May-31 19:21:06.586056	2022-May-31 19:21:22.573887
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87110148_140M.edges"	6079.3	1.01847e+09	2022-May-31 19:21:22.573981	2022-May-31 19:21:41.011802
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113878.edges"	4366.06	6.6032e+08	2022-May-31 19:21:41.011879	2022-May-31 19:21:54.202384
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104201_190M.edges"	8042.82	1.2628e+09	2022-May-31 19:21:54.202463	2022-May-31 19:22:18.530297
"VectorVectorContainer"	ParallelInplace#2	"bn-100k-662k.edges"	51.1373	1.2116e+07	2022-May-31 19:22:18.530391	2022-May-31 19:22:18.687968
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87113679_60M.edges"	2722.57	5.2938e+08	2022-May-31 19:22:18.688190	2022-May-31 19:22:26.991897
"VectorVectorContainer"	ParallelInplace#2	"bn-65-1K.edges"	1.60233	11672	2022-May-31 19:22:26.991972	2022-May-31 19:22:26.996804
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87104300_70M.edges"	2912.41	5.85246e+08	2022-May-31 19:22:26.996886	2022-May-31 19:22:35.881813
"VectorVectorContainer"	ParallelInplace#2	"ca-IMDB.edges"	220.607	6.40467e+07	2022-May-31 19:22:35.881891	2022-May-31 19:22:36.627372
"VectorVectorContainer"	ParallelInplace#2	"bn-34k-181k.edges"	18.0737	3.37203e+06	2022-May-31 19:22:36.627556	2022-May-31 19:22:36.686719
"VectorVectorContainer"	ParallelInplace#2	"data_files_test.txt"	0.575667	1200	2022-May-31 19:22:36.686804	2022-May-31 19:22:36.688544
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87112427_170M.edges"	7370.94	1.13409e+09	2022-May-31 19:22:36.688742	2022-May-31 19:22:58.993229
"VectorVectorContainer"	ParallelInplace#2	"socfb-Michigan23.mtx"	55.4643	8.81122e+06	2022-May-31 19:22:58.993325	2022-May-31 19:22:59.167747
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale22-ef16_adj_130M.edges"	19815.2	9.17792e+08	2022-May-31 19:22:59.167931	2022-May-31 19:23:59.699614
"VectorVectorContainer"	ParallelInplace#2	"sc-ldoor_20M.edges"	1033.05	1.96527e+08	2022-May-31 19:23:59.702174	2022-May-31 19:24:02.996639
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M7101234.edges"	2557.13	4.11658e+08	2022-May-31 19:24:02.996717	2022-May-31 19:24:10.730833
"VectorVectorContainer"	ParallelInplace#2	"delaunay_n24_50M.edges"	4695.9	1.58366e+09	2022-May-31 19:24:10.730911	2022-May-31 19:24:26.052616
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118465_180M.edges"	7791.97	1.20304e+09	2022-May-31 19:24:26.052712	2022-May-31 19:24:49.656791
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	6436	1.02893e+09	2022-May-31 19:24:49.656891	2022-May-31 19:25:09.161088
