"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025889_session_2_130M.edges"	8903.84	9.68121e+08	2022-May-31 20:00:59.177919	2022-May-31 20:01:26.088708
"VectorVectorContainer"	ParallelInplace#2	"graph500-scale20-ef16_adj_30M.edges"	3836.48	2.28144e+08	2022-May-31 20:01:26.088804	2022-May-31 20:01:37.812226
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87118347_80M.edges"	3089.7	5.19473e+08	2022-May-31 20:01:37.812323	2022-May-31 20:01:47.160038
"VectorVectorContainer"	ParallelInplace#2	"socf-konect.edges"	7149.94	5.02862e+09	2022-May-31 20:01:47.160114	2022-May-31 20:02:10.779075
"VectorVectorContainer"	ParallelInplace#2	"socfb-UIllinois20.mtx"	261.348	9.31808e+06	2022-May-31 20:02:10.779167	2022-May-31 20:02:11.571668
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025913_session_2_180M.edges"	7753.5	1.20509e+09	2022-May-31 20:02:11.571843	2022-May-31 20:02:35.055865
"VectorVectorContainer"	ParallelInplace#2	"bn-human-BNU_1_0025916_session_1_110M.edges"	4771.09	7.91512e+08	2022-May-31 20:02:35.055942	2022-May-31 20:02:49.520748
"VectorVectorContainer"	ParallelInplace#2	"livejournal_160M.edges"	7316.15	1.20569e+09	2022-May-31 20:02:49.521006	2022-May-31 20:03:12.319424
"VectorVectorContainer"	ParallelInplace#2	"tech-ip.edges"	1004.98	3.43868e+08	2022-May-31 20:03:12.319504	2022-May-31 20:03:15.544024
"VectorVectorContainer"	ParallelInplace#2	"bn-800-19k.edges"	2.83367	158724	2022-May-31 20:03:15.544094	2022-May-31 20:03:15.552695
"VectorVectorContainer"	ParallelInplace#2	"soc-wiki-Talk-dir.mtx"	281.958	1.97701e+08	2022-May-31 20:03:15.552766	2022-May-31 20:03:16.439018
"VectorVectorContainer"	ParallelInplace#2	"bn-human-Jung2015_M87101049_190M.edges"	8116.72	1.26237e+09	2022-May-31 20:03:16.439098	2022-May-31 20:03:40.997680
"VectorVectorContainer"	ParallelInplace#2	"soc-orkut_106M.edges"	16502.7	8.15405e+08	2022-May-31 20:03:40.997758	2022-May-31 20:04:33.277317
"VectorVectorContainer"	ParallelInplace#2	"socfb-uci-uni_90M.edges"	18250.8	7.26437e+09	2022-May-31 20:04:33.280428	2022-May-31 20:05:35.785161
"VectorVectorContainer"	ParallelInplace#2	"soc-sinaweibo_260M.edges"	71814.2	7.8951e+09	2022-May-31 20:05:35.787672	2022-May-31 20:09:28.476994
