"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025889_session_2_130M.edges"	9945.59	8.80513e+08	2022-May-31 03:11:21.178126	2022-May-31 03:11:51.175176
"VectorVectorContainer"	Sequential	"graph500-scale20-ef16_adj_30M.edges"	6899.31	2.05565e+08	2022-May-31 03:11:51.175698	2022-May-31 03:12:12.117647
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87118347_80M.edges"	5613.62	4.86217e+08	2022-May-31 03:12:12.121244	2022-May-31 03:12:29.027188
"VectorVectorContainer"	Sequential	"socf-konect.edges"	9815.46	3.11959e+09	2022-May-31 03:12:29.027267	2022-May-31 03:13:00.802680
"VectorVectorContainer"	Sequential	"socfb-UIllinois20.mtx"	394.12	8.16613e+06	2022-May-31 03:13:00.802757	2022-May-31 03:13:02.001404
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025913_session_2_180M.edges"	13579.7	1.10816e+09	2022-May-31 03:13:02.001492	2022-May-31 03:13:42.930196
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025916_session_1_110M.edges"	8181.75	6.98224e+08	2022-May-31 03:13:42.930272	2022-May-31 03:14:07.613873
"VectorVectorContainer"	Sequential	"livejournal_160M.edges"	12334.2	1.09425e+09	2022-May-31 03:14:07.613967	2022-May-31 03:14:45.424789
"VectorVectorContainer"	Sequential	"tech-ip.edges"	1522.32	2.06877e+08	2022-May-31 03:14:45.424868	2022-May-31 03:14:50.188186
"VectorVectorContainer"	Sequential	"bn-800-19k.edges"	2.12067	129996	2022-May-31 03:14:50.188262	2022-May-31 03:14:50.194660
"VectorVectorContainer"	Sequential	"soc-wiki-Talk-dir.mtx"	371.689	1.55547e+08	2022-May-31 03:14:50.194720	2022-May-31 03:14:51.338208
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87101049_190M.edges"	13906.3	1.16947e+09	2022-May-31 03:14:51.338282	2022-May-31 03:15:33.211448
"VectorVectorContainer"	Sequential	"soc-orkut_106M.edges"	25883.5	6.96575e+08	2022-May-31 03:15:33.211522	2022-May-31 03:16:52.523006
"VectorVectorContainer"	Sequential	"socfb-uci-uni_90M.edges"	23325.7	3.88519e+09	2022-May-31 03:16:52.523100	2022-May-31 03:18:08.591797
"VectorVectorContainer"	Sequential	"soc-sinaweibo_260M.edges"	110066	2.86016e+09	2022-May-31 03:18:08.594535	2022-May-31 03:23:54.930646
"VectorVectorContainer"	Sequential	"bn-7k-50k.edges"	3140.97	460404	2022-May-31 03:23:54.933194	2022-May-31 03:24:04.356578
"VectorVectorContainer"	Sequential	"scc_fb-messages.mtx"	30.7093	3.08872e+06	2022-May-31 03:24:04.356645	2022-May-31 03:24:04.458365
"VectorVectorContainer"	Sequential	"soc-orkut.edges"	8125.55	7.00929e+08	2022-May-31 03:24:04.458430	2022-May-31 03:24:29.548054
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87104509_50M.edges"	3671.27	3.40494e+08	2022-May-31 03:24:29.548150	2022-May-31 03:24:40.673109
"VectorVectorContainer"	Sequential	"cit-patent1.edges"	1441.45	1.85519e+08	2022-May-31 03:24:40.673208	2022-May-31 03:24:45.302071
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87107781_70M.edges"	5239.62	4.83025e+08	2022-May-31 03:24:45.302161	2022-May-31 03:25:01.145595
"VectorVectorContainer"	Sequential	"web-Stanford.mtx"	184.333	2.25416e+07	2022-May-31 03:25:01.145688	2022-May-31 03:25:01.730273
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	12254.3	1.03431e+09	2022-May-31 03:25:01.730345	2022-May-31 03:25:38.647871
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	10117.2	8.9148e+08	2022-May-31 03:25:38.647970	2022-May-31 03:26:09.150363
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87117093_120M.edges"	9065.28	7.76207e+08	2022-May-31 03:26:09.150459	2022-May-31 03:26:36.502902
"VectorVectorContainer"	Sequential	"data_files.txt"	0.0783333	0	2022-May-31 03:26:36.502981	2022-May-31 03:26:36.503221
"VectorVectorContainer"	Sequential	"hugetric-00010_10M.mtx"	1695.32	3.2024e+08	2022-May-31 03:26:36.503254	2022-May-31 03:26:43.617963
"VectorVectorContainer"	Sequential	"datafiles_par.txt"	0.781667	0	2022-May-31 03:26:43.618060	2022-May-31 03:26:43.620411
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87101705_200M.edges"	14546.4	1.21049e+09	2022-May-31 03:26:43.620474	2022-May-31 03:27:27.435614
"VectorVectorContainer"	Sequential	"tech-as-skitter.mtx"	877.755	1.07637e+08	2022-May-31 03:27:27.437768	2022-May-31 03:27:30.322620
"VectorVectorContainer"	Sequential	"socfb-Texas84.mtx"	107.384	1.00477e+07	2022-May-31 03:27:30.322693	2022-May-31 03:27:30.650744
"VectorVectorContainer"	Sequential	"soc-pokec.mtx"	1732.44	1.72233e+08	2022-May-31 03:27:30.650960	2022-May-31 03:27:36.172714
"VectorVectorContainer"	Sequential	"web-wikipedia2009.mtx"	393.058	6.98149e+07	2022-May-31 03:27:36.172804	2022-May-31 03:27:37.547759
"VectorVectorContainer"	Sequential	"ca-hollywood-2009.edges"	4064.82	3.70264e+08	2022-May-31 03:27:37.547834	2022-May-31 03:27:49.899432
"VectorVectorContainer"	Sequential	"soc-google-plus.txt"	114.719	1.86978e+07	2022-May-31 03:27:49.899530	2022-May-31 03:27:50.264720
"VectorVectorContainer"	Sequential	"tech-as-skitter_10M.mtx"	876.327	1.07637e+08	2022-May-31 03:27:50.264791	2022-May-31 03:27:53.125451
"VectorVectorContainer"	Sequential	"soc-orkut-dir_120M.edges"	8936.36	7.43494e+08	2022-May-31 03:27:53.125541	2022-May-31 03:28:20.401105
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87110148_140M.edges"	10495.3	9.11503e+08	2022-May-31 03:28:20.403786	2022-May-31 03:28:52.057242
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87113878.edges"	7471.24	6.33965e+08	2022-May-31 03:28:52.057319	2022-May-31 03:29:14.532378
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87104201_190M.edges"	14088.1	1.16131e+09	2022-May-31 03:29:14.532477	2022-May-31 03:29:56.952605
"VectorVectorContainer"	Sequential	"bn-100k-662k.edges"	55.8443	8.3899e+06	2022-May-31 03:29:56.955159	2022-May-31 03:29:57.129454
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87113679_60M.edges"	4588.12	4.17848e+08	2022-May-31 03:29:57.129536	2022-May-31 03:30:11.019921
"VectorVectorContainer"	Sequential	"bn-65-1K.edges"	1.278	8424	2022-May-31 03:30:11.020016	2022-May-31 03:30:11.023873
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87104300_70M.edges"	4923.16	5.07506e+08	2022-May-31 03:30:11.024036	2022-May-31 03:30:25.928498
"VectorVectorContainer"	Sequential	"ca-IMDB.edges"	295.24	4.48514e+07	2022-May-31 03:30:25.928614	2022-May-31 03:30:26.860126
"VectorVectorContainer"	Sequential	"bn-34k-181k.edges"	13.9477	1.92114e+06	2022-May-31 03:30:26.860216	2022-May-31 03:30:26.904672
"VectorVectorContainer"	Sequential	"data_files_test.txt"	0.0746667	0	2022-May-31 03:30:26.904740	2022-May-31 03:30:26.904968
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87112427_170M.edges"	12429.4	1.05014e+09	2022-May-31 03:30:26.905010	2022-May-31 03:31:04.344284
"VectorVectorContainer"	Sequential	"socfb-Michigan23.mtx"	81.7733	7.67162e+06	2022-May-31 03:31:04.344383	2022-May-31 03:31:04.594816
"VectorVectorContainer"	Sequential	"graph500-scale22-ef16_adj_130M.edges"	35209.6	7.9395e+08	2022-May-31 03:31:04.594902	2022-May-31 03:32:51.282084
"VectorVectorContainer"	Sequential	"sc-ldoor_20M.edges"	1669.19	1.55565e+08	2022-May-31 03:32:51.282161	2022-May-31 03:32:56.468284
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M7101234.edges"	4501.47	3.88581e+08	2022-May-31 03:32:56.468360	2022-May-31 03:33:10.015673
"VectorVectorContainer"	Sequential	"delaunay_n24_50M.edges"	5836.1	8.27597e+08	2022-May-31 03:33:10.015767	2022-May-31 03:33:28.583613
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87118465_180M.edges"	13523.6	1.11108e+09	2022-May-31 03:33:28.583691	2022-May-31 03:34:09.318027
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025869_session_2-bg_150M.edges"	11079.3	9.32549e+08	2022-May-31 03:34:09.320642	2022-May-31 03:34:42.702987
"VectorVectorContainer"	Sequential	"web-uk-2005.mtx"	786.593	7.28465e+07	2022-May-31 03:34:42.703084	2022-May-31 03:34:45.088835
"VectorVectorContainer"	Sequential	"soc-livejournal.mtx"	2351.03	4.00919e+08	2022-May-31 03:34:45.088922	2022-May-31 03:34:52.813418
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M8703600.edges"	3738.01	3.382e+08	2022-May-31 03:34:52.813510	2022-May-31 03:35:04.170153
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025868_session_1-bg_150M.edges"	10947.5	9.21439e+08	2022-May-31 03:35:04.170229	2022-May-31 03:35:37.171710
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87125334_40M.edges"	2997.14	3.3709e+08	2022-May-31 03:35:37.171796	2022-May-31 03:35:46.275191
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87116523_80M.edges"	5469.99	4.63329e+08	2022-May-31 03:35:46.275290	2022-May-31 03:36:02.734087
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87127677_210M.edges"	15351.3	1.26403e+09	2022-May-31 03:36:02.736789	2022-May-31 03:36:48.954737
"VectorVectorContainer"	Sequential	"bn-449k-3.3M.edges"	275.749	4.13662e+07	2022-May-31 03:36:48.957027	2022-May-31 03:36:49.832855
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025919_session_1.edges"	14662.1	1.22544e+09	2022-May-31 03:36:49.832945	2022-May-31 03:37:33.972286
"VectorVectorContainer"	Sequential	"testfile.txt"	0.976667	0	2022-May-31 03:37:33.972362	2022-May-31 03:37:33.975300
"VectorVectorContainer"	Sequential	"C2000-9.edges"	101.991	1.02348e+07	2022-May-31 03:37:33.975456	2022-May-31 03:37:34.294374
"VectorVectorContainer"	Sequential	"datafiles_seq.txt"	0.75	0	2022-May-31 03:37:34.294462	2022-May-31 03:37:34.296720
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87114342_90M.edges"	6686.8	5.77794e+08	2022-May-31 03:37:34.296859	2022-May-31 03:37:54.505563
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025919_session_1_200M.edges"	14866.4	1.22544e+09	2022-May-31 03:37:54.505646	2022-May-31 03:38:39.258657
"VectorVectorContainer"	Sequential	"socfb-B-anon_20M.edges"	4878.04	2.18658e+08	2022-May-31 03:38:39.260967	2022-May-31 03:38:54.885017
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87110650_40M.edges"	3010.61	3.00225e+08	2022-May-31 03:38:54.885111	2022-May-31 03:39:04.012163
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87125286_210M.edges"	15363.4	1.2654e+09	2022-May-31 03:39:04.012237	2022-May-31 03:39:50.263396
"VectorVectorContainer"	Sequential	"bn-human-Jung2015_M87124563_160M.edges"	11879.1	1.01535e+09	2022-May-31 03:39:50.263489	2022-May-31 03:40:26.085580
"VectorVectorContainer"	Sequential	"bn-human-BNU_1_0025914_session_2_100M.edges"	7533.04	6.91978e+08	2022-May-31 03:40:26.089158	2022-May-31 03:40:48.826363
"VectorVectorContainer"	Sequential	"bn-434k-16M.edges"	1127.62	1.1059e+08	2022-May-31 03:40:48.826440	2022-May-31 03:40:52.279456
